ID,function_identifier,function_a,function_b
0,polynomial,0.9000827312095951,0.7843515111599606
1,polynomial,-0.6519816423069077,0.7490052845663706
2,polynomial,0.21279881416527927,-0.26200589835735205
3,polynomial,-0.5300248830157026,0.8507691341072677
4,polynomial,1.8566210165788077,1.3163895404998143
5,polynomial,0.7509621196874148,0.20920284260499475
6,polynomial,-0.12285618523441354,0.04035135803348667
7,polynomial,1.2337871017909463,-1.9356245571073991
8,polynomial,-0.09166941070848438,0.8376696811300989
9,polynomial,1.2638518931161753,1.6974559934522342
10,polynomial,0.12016201082902112,1.0806114512619085
11,polynomial,-0.7683906240856723,-0.8767537962090473
12,polynomial,-1.0609876997976666,1.3245852330235224
13,polynomial,0.3167645828136846,-0.18486368756308813
14,polynomial,-1.3995982592086111,0.163018220376615
15,polynomial,0.12437408230174106,1.9407501200221247
16,polynomial,-1.5907165522324063,-0.7597844448288371
17,polynomial,-1.433151404770082,-0.15539682527543522
18,polynomial,1.4471528169040502,0.8220192320100558
19,polynomial,0.14737331356887198,1.9777224621291472
20,polynomial,-1.5607347575836261,-0.2533179590049274
21,polynomial,0.4189910175669336,0.23633448460091677
22,polynomial,-1.0064749091395453,-0.49750514165070486
23,polynomial,0.6747792398671428,-0.36355733833801507
24,polynomial,0.655376980102818,-0.6983125657303834
25,polynomial,-1.0947852877876578,-1.5058654175119637
26,polynomial,0.6531151803676202,0.43558640850757085
27,polynomial,1.5948926400563184,-1.3776921176358048
28,polynomial,1.5484093168036743,1.5776212826146077
29,polynomial,1.5452461959224744,-1.185743963024499
30,polynomial,0.430288349098309,-0.7669016293775948
31,polynomial,1.7231431671665305,-0.9369680692955591
32,polynomial,-0.4378668184460591,1.4980618957170493
33,polynomial,-1.824213753306792,0.9733462939910442
34,polynomial,0.3293757470037974,-0.6011232976131738
35,polynomial,1.4369791482738945,-0.9716648632997248
36,polynomial,-1.4717589068482315,-0.13223296025507714
37,polynomial,0.06618178798012675,0.5704209951574729
38,polynomial,-1.9550664589182551,-1.0924063597689875
39,polynomial,-0.8249428614214639,-0.417259021280644
40,polynomial,0.31947247198562023,-1.0407910152636788
41,polynomial,-0.1931932937224211,-0.42782839329834743
42,polynomial,-1.8800990151752943,-0.577027723898456
43,polynomial,-0.1944230152649227,0.38596375601413946
44,polynomial,-0.3485035754887667,1.223871340705366
45,polynomial,0.9140266754955031,0.14431160170470875
46,polynomial,0.4681546656701061,0.476698459354029
47,polynomial,1.3352592918212147,1.3102046559498217
48,polynomial,1.724475568401149,0.010307285181546503
49,polynomial,1.1688341456236584,1.005872157292493
50,polynomial,1.504722569733893,0.81233557251862
51,polynomial,0.5275259432631918,-1.3539082215980778
52,polynomial,0.43039303205651896,-0.03002939299485954
53,polynomial,0.06900764239798834,0.3222334201773655
54,polynomial,-0.6842896554645209,1.0718800873975327
55,polynomial,-0.9702159851516579,0.13018819510961038
56,polynomial,-0.021716376609771104,0.6217691408516693
57,polynomial,-0.8021619163054227,-0.6336354737613877
58,polynomial,0.44264429846390013,0.007219107909092689
59,polynomial,0.727558841575982,0.7583391626281348
60,polynomial,-1.1434964194326165,-0.163893275089192
61,polynomial,0.04790930502077625,0.21236836697774739
62,polynomial,-0.8290981644726266,0.8465337009004259
63,polynomial,-0.9179377944664401,1.5986892397474088
64,polynomial,-0.6854098663119484,0.8990572798188143
65,polynomial,0.3571135683910525,0.1343285155293819
66,polynomial,0.15023364946203932,0.8509031668840042
67,polynomial,1.3731459153413388,0.2710696944411614
68,polynomial,1.507620210730416,-0.5623226187374611
69,polynomial,-0.48592605785908227,0.0174223508479251
70,polynomial,1.4253861680194535,0.7992056450675313
71,polynomial,-0.6261624459364359,-0.3925790110518692
72,polynomial,0.08749051061909548,-0.35362953740221265
73,polynomial,0.3553464795764516,-1.033186893548362
74,polynomial,0.7977823082415707,-1.3445069672694923
75,polynomial,-0.15732096531325504,0.6557579010413351
76,polynomial,-0.2592313350010743,-1.9326273691716191
77,polynomial,-0.0032416630443836635,1.1441686121573689
78,polynomial,0.6674619908722312,-0.7682890399442321
79,polynomial,0.886754560768998,1.9900137730594163
80,polynomial,-0.9153719991125131,-0.6742982324747275
81,polynomial,-0.14688373125625526,0.6222124333395641
82,polynomial,-0.20378331879583486,1.0216232388345587
83,polynomial,-1.2358698756294606,0.44521636013515153
84,polynomial,-0.12111842190665251,-0.5841933520334927
85,polynomial,-0.7177889556972816,-0.8026680189734925
86,polynomial,-0.6611990510862256,0.19970716316220824
87,polynomial,-0.9130743633540633,1.0401176543419948
88,polynomial,0.05314267460696935,-0.4753939417523775
89,polynomial,0.7101766304991123,1.433757621183471
90,polynomial,-0.11279099194361376,0.4026747618549866
91,polynomial,-0.6577636666197152,-0.007261498986164396
92,polynomial,0.2930381073057549,-0.8682890938001435
93,polynomial,-0.6866041839423339,0.6951942969608567
94,polynomial,-0.3358668083117769,0.0646212350293046
95,polynomial,-0.3579279483022723,-1.1744744116009507
96,polynomial,-0.6650152999304582,0.5014481623668652
97,polynomial,0.1250383938426155,-0.32455058946707327
98,polynomial,0.568823706491391,0.016721919664542315
99,polynomial,-0.5769368482409396,1.0712263526970989
