ID,function_0_identifier,function_0_a,function_0_b,function_1_identifier,function_1_a,function_1_b,function_2_identifier,function_2_a,function_2_b,function_3_identifier,function_3_a,function_3_b,function_4_identifier,function_4_a,function_4_b
0,0,2.3463377451693344,4.5272082453323215,0,2.0206892802608287,4.9270874064290275,0,5.938799600899001,0.01578714449631513,0,7.055226771149297,4.276663525478185,0,0.9917630863598108,-5.817267157157379
1,0,2.2214172665379213,0.6043724077585448,0,4.061101108073411,2.972003141182457,0,4.06959101073008,13.134835292240023,0,3.268837283361387,7.733044989108084,0,-2.4833761354866084,11.511236326248646
2,0,1.6843002126776785,2.661978180308682,0,5.117297321028803,6.954308946793561,0,4.802522226452185,-5.933799583885332,0,0.439185007650686,1.79415291418076,0,-1.4479154043440952,-7.357877038419625
3,0,4.94022890705507,4.715603343012147,0,3.493188581918293,4.740226641514203,0,6.604540452613086,7.11263272856219,0,0.4848894315516983,2.96600652542405,0,5.604486213993205,4.377669384823449
4,0,5.041824931870629,4.82706063910129,0,3.2855342009107207,3.035728608256776,0,3.6362978362068197,-4.094736274516154,0,-1.300065772477788,2.550296077675661,0,-3.4214289593844276,7.213328260300408
5,0,3.8932703677380935,2.8595866112792314,0,6.102181021880036,5.283614768447292,0,3.0164867513994014,12.774304099492397,0,2.562152703870499,3.1622226767121546,0,6.339186855095397,1.9677277986051736
6,0,5.004721308850429,3.603655654879212,0,2.827385116120082,4.792862602849892,0,2.428263556752866,0.9305856423044403,0,1.9968990125459918,0.6300626388758581,0,2.6306896394703743,-6.239205895951551
7,0,2.7742274175094357,1.5598772112296562,0,1.9554144872864017,1.5916683233441047,0,5.244449626261067,8.276572553289164,0,8.256787829214868,6.030918984945698,0,-3.572321327752838,-0.3860164991644215
8,0,7.6800765258027734,4.12873013361439,0,4.968756804635518,4.097794722077613,0,8.196427384969525,13.340039162051497,0,4.297817525944923,3.656561000413837,0,-2.8440155372122042,-5.2769153906734125
9,0,5.73218674943662,2.786538224754445,0,5.496979682731687,6.175158700312377,0,5.667912549001578,4.716929213713899,0,4.366509453713982,0.486789694490247,0,6.987270574351792,0.10721427552695673
10,0,0.16976020627837185,3.5857766096928865,0,4.062085429379438,2.6652440109308184,0,4.906406007514618,5.448632012641571,0,5.901032371026837,0.27581794847155505,0,-9.104971219178493,5.1003824863462395
11,0,2.5149654321672212,4.526144068557673,0,1.2489267909450894,6.684239440236439,0,3.933085475651442,4.261490949269986,0,4.1258693757992795,4.350735786095498,0,5.862483693017504,7.021127178606337
12,0,1.5644522007810555,6.839176075276675,0,3.242167496164176,2.362688859085904,0,4.960111199583949,7.261086296879057,0,6.698699620553266,-1.3172804265094076,0,-1.5479855513724772,3.0018445172155483
13,0,5.363017052659683,4.3611411491628544,0,4.651541814419213,3.4115603305481583,0,3.907418094864338,4.58785792498583,0,4.5604636483709005,4.966835466660697,0,4.874049597523342,1.7463123207380962
